CODCIUDAD,CIUDAD,CODMUNICIPIO,MUNICIPIO,CODESTADO,ESTADO
63,PUERTO AYACUCHO,3,ATURES,18,AMAZONAS
83,LA ESMERALDA,1,ALTO ORINOCO,18,AMAZONAS
84,SAN FERNANDO DE ATABAPO,2,ATABAPO,18,AMAZONAS
85,ISLA RATON,4,AUTANA,18,AMAZONAS
86,SAN JUAN DE MANAPIARE,5,MAPIARE,18,AMAZONAS
87,MAROA,6,MAROA,18,AMAZONAS
88,SAN CARLOS DE RIO NEGRO,7,RIO NEGRO,18,AMAZONAS
365,ACANAÑA,1,ALTO ORINOCO,18,AMAZONAS
366,TOKI-SHAMANAÑA,1,ALTO ORINOCO,18,AMAZONAS
367,MAVACA,1,ALTO ORINOCO,18,AMAZONAS
368,PARIMABE,1,ALTO ORINOCO,18,AMAZONAS
369,LASA LIJA,2,ATABAPO,18,AMAZONAS
370,MACURUCO,2,ATABAPO,18,AMAZONAS
371,GUARINUMA,2,ATABAPO,18,AMAZONAS
372,LIMON DE PARHUEÑA,3,ATURES,18,AMAZONAS
373,PLATANILLAL,3,ATURES,18,AMAZONAS
374,SAMARIAPO,4,AUTANA,18,AMAZONAS
375,MUNDUAPO,4,AUTANA,18,AMAZONAS
376,SAN PEDRO DEL ORINOCO,4,AUTANA,18,AMAZONAS
377,VICTORINO,6,MAROA,18,AMAZONAS
378,COMUNIDAD,6,MAROA,18,AMAZONAS
379,CACURI,5,MAPIARE,18,AMAZONAS
380,CAMANI,5,MAPIARE,18,AMAZONAS
381,MARUETA,5,MAPIARE,18,AMAZONAS
382,SOLANO,7,RIO NEGRO,18,AMAZONAS
383,CURIMACARE,7,RIO NEGRO,18,AMAZONAS
384,SANTA LUCIA,7,RIO NEGRO,18,AMAZONAS
1022,CIUDAD SIN ASIGNAR DE MUNICIPIO ALTO ORINOCO,1,ALTO ORINOCO,18,AMAZONAS
1023,CIUDAD SIN ASIGNAR DE MUNICIPIO ATABAPO,2,ATABAPO,18,AMAZONAS
1024,CIUDAD SIN ASIGNAR DE MUNICIPIO ATURES,3,ATURES,18,AMAZONAS
1025,CIUDAD SIN ASIGNAR DE MUNICIPIO AUTANA,4,AUTANA,18,AMAZONAS
1026,CIUDAD SIN ASIGNAR DE MUNICIPIO MAPIARE,5,MAPIARE,18,AMAZONAS
1027,CIUDAD SIN ASIGNAR DE MUNICIPIO MAROA,6,MAROA,18,AMAZONAS
1028,CIUDAD SIN ASIGNAR DE MUNICIPIO RIO NEGRO,7,RIO NEGRO,18,AMAZONAS
1358,CIUDAD SIN ASIGNAR DE ESTADO AMAZONAS,354,MUNICIPIO SIN ASIGNAR DE AMAZONAS,18,AMAZONAS
4,ANACO,8,ANACO,19,ANZOATEGUI
5,BARCELONA,10,BOLIVAR,19,ANZOATEGUI
6,CANTAURA,14,FREITES,19,ANZOATEGUI
7,EL TIGRE,27,SIMON RODRIGUEZ,19,ANZOATEGUI
8,PUERTO LA CRUZ,28,SOTILLO,19,ANZOATEGUI
